Type,City,Bedrooms,Area,Price,Predicted_Price,Discount_pct
Stand Alone Villa,New Hut - El Tagamoa,4.0,444.0,1700000,14515435.764582995,88.3
Chalet,North Coast,1.0,71.0,88750,757219.3319885504,88.3
Chalet,North Coast,4.0,160.0,245000,2035082.732604232,88.0
Town House,New Hut - El Tagamoa,4.0,200.0,400000,3325596.943737927,88.0
Apartment,6th of October,3.0,158.0,236850,1974303.516256908,88.0
Chalet,North Coast,2.0,112.0,210000,1728408.0318584384,87.9
Twin House,New Hut - El Tagamoa,5.0,580.0,350000,2880910.6404132163,87.9
Chalet,Ras Sedr,2.0,127.0,155000,1284328.6746740898,87.9
Apartment,New Capital City,3.0,179.0,155000,1266719.7849829348,87.8
Chalet,North Coast,3.0,188.0,250000,2056955.9550017223,87.8
Chalet,North Coast,3.0,120.0,200000,1619735.108332426,87.7
Chalet,North Coast,1.0,65.0,140000,1126296.2968586097,87.6
Chalet,North Coast,2.0,96.0,205000,1658764.5964257007,87.6
Chalet,Alamein,2.0,120.0,160000,1292817.010755556,87.6
Apartment,New Capital City,3.0,164.0,128000,1016680.4786448276,87.4
Chalet,Ain Sukhna,2.0,80.0,120000,955363.5919398544,87.4
Apartment,New Capital City,3.0,169.0,110000,873986.4660610893,87.4
Town House,New Capital City,4.0,387.0,265000,2110304.078601419,87.4
Town House,Sheikh Zayed,4.0,205.0,550000,4343968.6712557115,87.3
Stand Alone Villa,New Hut - El Tagamoa,4.0,275.0,450000,3509784.9847056265,87.2
Chalet,Ain Sukhna,2.0,100.0,99000,774049.6244029102,87.2
Chalet,North Coast,1.0,70.0,195000,1522778.7790430428,87.2
Duplex,Sheikh Zayed,4.0,200.0,390000,3054910.2728209323,87.2
Chalet,Ain Sukhna,2.0,104.0,194100,1518927.2258399322,87.2
Apartment,New Hut - El Tagamoa,2.0,128.0,248000,1940379.282108139,87.2
Apartment,New Hut - El Tagamoa,3.0,197.0,293500,2272861.372237441,87.1
Town House,New Hut - El Tagamoa,4.0,275.0,590000,4568834.2528446205,87.1
Stand Alone Villa,New Hut - El Tagamoa,4.0,375.0,450000,3491859.922185454,87.1
Stand Alone Villa,New Hut - El Tagamoa,4.0,235.0,450000,3465484.998847864,87.0
Chalet,North Coast,2.0,95.0,222000,1706330.2925819422,87.0
Chalet,North Coast,2.0,108.0,200000,1535362.7397902852,87.0
Chalet,North Coast,2.0,88.0,180000,1376695.0269899687,86.9
Chalet,North Coast,2.0,92.0,225000,1711333.2860870487,86.9
Town House,New Hut - El Tagamoa,3.0,240.0,460000,3498367.704116521,86.9
Town House,New Capital City,4.0,387.0,235000,1786345.2143721092,86.8
Town House,New Capital City,4.0,387.0,235000,1786345.2143721092,86.8
Town House,New Hut - El Tagamoa,3.0,165.0,158000,1192651.7089129898,86.8
Town House,North Coast,4.0,164.0,195000,1467100.2814777798,86.7
Apartment,New Hut - El Tagamoa,3.0,150.0,173000,1281887.1709938468,86.5
Town House,Sheikh Zayed,3.0,220.0,520000,3845529.2446169904,86.5
Chalet,North Coast,3.0,181.0,259000,1919363.1804657232,86.5
Town House,Shorouk City,4.0,220.0,312500,2313968.232123892,86.5
Apartment,New Hut - El Tagamoa,3.0,183.0,195000,1439214.0583015054,86.5
Chalet,North Coast,2.0,108.0,204000,1500881.2177972049,86.4
Chalet,North Coast,2.0,75.0,130000,953297.1543557814,86.4
Apartment,New Capital City,3.0,190.0,150000,1099598.5782386372,86.4
Stand Alone Villa,New Hut - El Tagamoa,5.0,306.0,500000,3674676.098142363,86.4
Apartment,New Hut - El Tagamoa,3.0,185.0,280000,2048470.466737834,86.3
Town House,New Hut - El Tagamoa,3.0,258.0,442750,3238527.967419253,86.3
Stand Alone Villa,New Capital City,5.0,468.0,388000,2838893.519218964,86.3
Twin House,New Capital City,4.0,426.0,272000,1988555.01790807,86.3
Chalet,North Coast,2.0,123.0,334800,2443680.759541486,86.3
Town House,North Coast,4.0,180.0,290000,2114332.53025937,86.3
Apartment,Sheikh Zayed,2.0,97.0,112000,810814.4438612516,86.2
Apartment,New Hut - El Tagamoa,3.0,207.0,850000,6145237.828884984,86.2
Twin House,New Hut - El Tagamoa,4.0,230.0,325000,2361629.4634833755,86.2
Twin House,6th of October,4.0,281.0,265000,1924602.1569134528,86.2
Stand Alone Villa,New Hut - El Tagamoa,3.0,176.0,275000,1986228.080925542,86.2
Chalet,North Coast,2.0,90.0,210000,1527207.236712453,86.2
Town House,Madinaty,4.0,270.0,1000000,7197468.394320907,86.1
Chalet,North Coast,1.0,50.0,80000,573947.3317907073,86.1
Chalet,Ain Sukhna,2.0,105.0,165470,1183040.654772088,86.0
Chalet,New Hut - El Tagamoa,2.0,72.0,170000,1211023.4299499136,86.0
Chalet,Ain Sukhna,2.0,90.0,135000,961740.9593868994,86.0
Chalet,North Coast,3.0,133.0,380000,2718099.3412611308,86.0
Chalet,North Coast,1.0,70.0,150000,1072641.4270987373,86.0
Chalet,Ain Sukhna,2.0,82.0,112000,792018.8549215106,85.9
Chalet,Ain Sukhna,2.0,100.0,170000,1201924.9669269344,85.9
Apartment,New Hut - El Tagamoa,3.0,167.0,320000,2273468.387281902,85.9
Apartment,New Capital City,2.0,107.0,85000,602167.8434200016,85.9
Apartment,New Capital City,3.0,150.0,30000,211830.45102060522,85.8
